datetime,OfflineCalcWL
7/15/2022 0:00,2.046
7/16/2022 0:00,1.71
7/17/2022 0:00,1.317
7/18/2022 0:00,1.033
7/19/2022 0:00,0.96
7/20/2022 0:00,1.424
7/21/2022 0:00,2.022
7/22/2022 0:00,2.234
7/23/2022 0:00,2.505
7/24/2022 0:00,2.113
7/25/2022 0:00,1.569
7/26/2022 0:00,1.158
7/27/2022 0:00,0.893
7/28/2022 0:00,0.792
7/29/2022 0:00,0.762
7/30/2022 0:00,0.794
7/31/2022 0:00,1.04
8/1/2022 0:00,1.145
8/2/2022 0:00,0.962
8/3/2022 0:00,0.965
8/4/2022 0:00,0.896
8/5/2022 0:00,0.672
8/6/2022 0:00,0.537
8/7/2022 0:00,0.763
8/8/2022 0:00,1.432
8/9/2022 0:00,1.568
8/10/2022 0:00,1.356
8/11/2022 0:00,2.067
8/12/2022 0:00,4.907
8/13/2022 0:00,3.533
8/14/2022 0:00,2.43
8/15/2022 0:00,2.045
8/16/2022 0:00,1.917
8/17/2022 0:00,1.868
8/18/2022 0:00,1.695
8/19/2022 0:00,1.306
8/20/2022 0:00,1.564
8/21/2022 0:00,3.861
8/22/2022 0:00,4.438
8/23/2022 0:00,3.309
8/24/2022 0:00,2.577
8/25/2022 0:00,2.786
8/26/2022 0:00,2.575
8/27/2022 0:00,2.429
8/28/2022 0:00,1.899
8/29/2022 0:00,1.457
8/30/2022 0:00,1.202
8/31/2022 0:00,1.052
9/1/2022 0:00,0.992
9/2/2022 0:00,0.899
9/3/2022 0:00,0.762
9/4/2022 0:00,0.748
9/5/2022 0:00,1.039
9/6/2022 0:00,1.859
9/7/2022 0:00,2.536
9/8/2022 0:00,1.902
9/9/2022 0:00,1.878
9/10/2022 0:00,2.259
9/11/2022 0:00,2.918
9/12/2022 0:00,2.968
9/13/2022 0:00,3.165
9/14/2022 0:00,2.55
9/15/2022 0:00,1.854
9/16/2022 0:00,1.51
9/17/2022 0:00,1.348
9/18/2022 0:00,1.285
9/19/2022 0:00,1.336
9/20/2022 0:00,1.261
9/21/2022 0:00,1.296
9/22/2022 0:00,1.452
9/23/2022 0:00,1.913
9/24/2022 0:00,2.188
9/25/2022 0:00,2.08
9/26/2022 0:00,2.337
9/27/2022 0:00,2.389
9/28/2022 0:00,1.855
9/29/2022 0:00,1.433
9/30/2022 0:00,1.851
10/1/2022 0:00,2.601
10/2/2022 0:00,2.761
10/3/2022 0:00,2.483
10/4/2022 0:00,2.324
10/5/2022 0:00,2.091
10/6/2022 0:00,2.014
10/7/2022 0:00,1.868
10/8/2022 0:00,1.52
10/9/2022 0:00,1.396
10/10/2022 0:00,1.646
10/11/2022 0:00,1.918
10/12/2022 0:00,1.688
10/13/2022 0:00,1.162
10/14/2022 0:00,0.898
